Key,Value,Trad,Distance
aeroway,aerodrome,Aéroport,
amenity,arts_centre,Centre artistique,
amenity,atm,Distributeur automatique de billets,
amenity,atm,Dab,
amenity,auditorium,Auditorium,
amenity,bank,Banque,
amenity,bar,Bar,
amenity,bench,Banc,
amenity,bicycle_parking,Parking à vélos,
amenity,bicycle_rental,Location de vélos,
amenity,brothel,Bordel,
amenity,bureau_de_change,Bureau de change,
amenity,bus_station,Arrêt de bus,
amenity,cafe,Café,
amenity,car_rental,Location de voitures,
amenity,car_sharing,Covoiturage,
amenity,car_wash,Lavage de voitures,
shop,laundry,Laverie,
amenity,casino,Casino,
amenity,cinema,Cinéma,
amenity,clinic,Clinique,
amenity,club,Club,
amenity,college,Établissement d'enseignement supérieur,
amenity,community_centre,Salle polyvalente,
amenity,courthouse,Palais de justice,
amenity,crematorium,Crématorium,
amenity,dentist,Dentiste,
amenity,doctors,Docteur,
amenity,dormitory,Dortoir,
amenity,drinking_water,Eau potable,
amenity,driving_school,École de conduite,
amenity,embassy,Ambassade,
amenity,emergency_phone,Téléphone d'urgence,
amenity,fast_food,Restauration rapide,
amenity,ferry_terminal,Terminal de ferry,
amenity,fire_hydrant,Bouche d'incendie,
amenity,fire_station,Caserne de pompiers,
amenity,fountain,Fontaine,
amenity,fuel,Carburant,
amenity,grave_yard,Cimetière,
amenity,gym,Fitness,
amenity,gym,Salle de gymnastique,
amenity,hall,Salle,
amenity,health_centre,Centre de santé,
amenity,hospital,Hôpital,
amenity,hotel,Hôtel,
amenity,hunting_stand,Stand de tir,
amenity,ice_cream,Crème glacée,
amenity,kindergarten,Jardin d'enfants,
amenity,library,Bibliothèque,
amenity,market,Marché,
amenity,marketplace,Place de marché,
amenity,mountain_rescue,Secours en montagne,
amenity,nightclub,Boîte de nuit,
amenity,nursery,Nurserie,
amenity,nursing_home,Maison de santé,
amenity,office,Bureau,
amenity,park,Parc,
amenity,parking,Parking,
amenity,pharmacy,Pharmacie,
amenity,place_of_worship,Lieu de culte,
amenity,police,Police,
amenity,post_box,Boîtes aux lettres,
amenity,post_office,Bureau de poste,
amenity,preschool,Préscolaire,
amenity,prison,Prison,
amenity,pub,Bar,
amenity,public_building,Bâtiment public,
